#options: 640x360 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=48 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1658 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:107 out:108 type:b dur:2 cpbdur:2 q:16.62 aq:12.34 tex:17116 mv:5440 misc:876 imb:0 pmb:648 smb:272 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:16.73 aq:8.82 tex:141316 mv:7640 misc:284 imb:180 pmb:715 smb:25 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:16.68 aq:10.95 tex:43840 mv:8432 misc:608 imb:13 pmb:786 smb:121 d:t ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:16.66 aq:12.54 tex:17248 mv:5230 misc:922 imb:3 pmb:605 smb:312 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:16.70 aq:12.65 tex:18271 mv:5289 misc:920 imb:3 pmb:612 smb:305 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:16.82 aq:9.02 tex:136183 mv:7607 misc:274 imb:188 pmb:712 smb:20 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:16.77 aq:11.15 tex:42204 mv:8552 misc:620 imb:10 pmb:798 smb:112 d:t ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:16.75 aq:12.80 tex:18019 mv:5352 misc:861 imb:3 pmb:629 smb:288 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:16.80 aq:12.47 tex:18558 mv:5574 misc:844 imb:1 pmb:657 smb:262 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:16.90 aq:9.14 tex:137784 mv:7607 misc:249 imb:191 pmb:710 smb:19 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:16.86 aq:11.16 tex:43433 mv:8635 misc:620 imb:11 pmb:795 smb:114 d:t ref:0 ;
